regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,1462233.2361220769,1462101.011861064,1230638.7797109336,1230414.0845228923,-132.22426101285964,-0.009043442275206101,-322.4417778762407,41.33677031072437,False
R3_reference,0.5,0.0,0.1,1462823.4120318186,1462823.4127063437,1231042.3533356264,1231042.3589746368,0.0006745250429958105,4.6111173579583585e-08,-0.0033594716340303423,0.0046474607486743464,False
R3_reference,0.75,0.0,1.0,1463978.0721342019,1464086.1426122354,1232886.1000097091,1233007.6454499762,108.07047803350724,0.007381428926079918,-24.022357306838966,226.47085086176517,False
R1_lean,0.3,1.0,1.0,1462233.7940637136,1462101.009854468,1230639.387415873,1230414.0823421655,-132.78420924558304,-0.009081739794352504,-323.9037037938833,41.69692388678086,False
R1_lean,0.5,0.1,0.1,1462823.4026229884,1462823.4090740217,1231042.3340583385,1231042.3522379063,0.006451033288612962,4.4099877323514496e-07,-0.0038068022462539376,0.01813613103004172,False
R1_lean,0.75,0.0,1.0,1463978.072040873,1464086.1435143445,1232886.0998255755,1233007.6468354026,108.0714734713547,0.00738149691191964,-24.020403921575053,226.47139195732302,False
R2_varcap,0.3,0.1,1.0,1452243.8564865293,1452410.5765372491,1219694.4272128816,1219859.6264737898,166.72005071979947,0.011478851325723852,-34.16785954986117,298.9299573337368,False
R2_varcap,0.5,0.1,0.0,1453393.9482092063,1453340.5227826282,1221654.3482844662,1221627.9468260491,-53.4254265781492,-0.003676043276895533,-154.88297164089164,43.90456231318528,False
R2_varcap,0.75,0.1,0.1,1457971.9886022334,1457972.0051231538,1226905.936081899,1226905.953672384,0.016520920442417264,1.13314387274684e-06,-0.007073197548743336,0.048868814110755915,False
