regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,901884.9598139273,901971.294215999,652852.2200412612,652796.9896473824,86.33440207166132,0.00957174608829474,-289.4510286600154,430.77915750117967,False
R3_reference,0.5,1.0,1.0,903207.356923458,903604.0191459444,654368.4960972394,654553.8944161166,396.6622224863386,0.04389779306883231,85.64178664947394,658.9966903073887,True
R3_reference,0.75,1.0,1.0,909236.4614053018,909074.0813062981,659518.9476435275,659550.9174071155,-162.38009900366887,-0.017862141528700946,-445.8801852973935,179.97475169389787,False
R1_lean,0.3,1.0,1.0,901884.9853581015,901971.2631237375,652852.2270432065,652796.9610866096,86.27776563598309,0.009565467234198016,-289.4816971551278,430.7008110414142,False
R1_lean,0.5,1.0,1.0,903207.3508702852,903603.9965186574,654368.4889567263,654553.8710574303,396.64564837224316,0.04389595994488868,85.62731060405204,658.979832429398,True
R1_lean,0.75,1.0,1.0,909225.3494896989,909062.9740602978,659585.1403668779,659617.1169542549,-162.37542940105777,-0.017861846102455767,-445.88000949745185,179.98501049675676,False
R2_varcap,0.3,1.0,1.0,877973.5617905948,877500.2087366576,626688.7645896064,626801.9259784378,-473.35305393720046,-0.053943355138193046,-1347.6434011587844,545.2635537214167,False
R2_varcap,0.5,1.0,1.0,883700.9857322215,884242.6323344951,634601.2405171561,634890.3055360232,541.6466022735694,0.06125542723987019,-93.19809428374573,1358.721721766717,False
R2_varcap,0.75,1.0,1.0,902648.9675519231,904614.3450906279,654559.4974601713,655699.1719875513,1965.377538704779,0.21726137213840882,1352.8700299131538,3028.2436146831687,True
