regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,1515085.8275193698,1514580.5619417063,1262998.271070715,1262385.170976897,-505.26557766343467,-0.03336009918255385,-575.5321143515757,-349.8191409398103,True
R3_reference,0.5,0.1,1.0,1515267.5343555887,1515381.920483747,1263252.6680514794,1264064.8617657183,114.38612815830857,0.007548336601626717,11.967703703854932,333.94307367361614,True
R3_reference,0.75,1.0,0.0,1517182.7830542533,1516937.0882324362,1267932.8204201118,1267478.9999801086,-245.6948218171019,-0.01619677069820939,-462.9590580310207,56.519853739329776,False
R1_lean,0.3,1.0,1.0,1515087.7819884277,1514580.482856593,1263000.8583043066,1262384.917658341,-507.2991318346467,-0.033494366101816456,-577.8952556781703,-351.4083651463036,True
R1_lean,0.5,0.1,1.0,1515267.5377526982,1515381.8825431683,1263252.672968356,1264064.8591321264,114.3447904700879,0.0075456089179441925,11.94613519468694,333.9308080808667,True
R1_lean,0.75,1.0,0.0,1517182.7825012761,1516937.082592966,1267932.8198114547,1267478.9926122548,-245.6999083100818,-0.016197106071802025,-462.96585809205425,56.51828217974391,False
R2_varcap,0.3,0.0,0.0,1510781.1382208061,1510781.0973100993,1255605.3990929124,1255605.4069343803,-0.04091070685535669,-2.7079175751005215e-06,-0.11866028546355664,0.019472428993321945,False
R2_varcap,0.5,0.1,0.0,1512872.3874384414,1512950.5601550327,1260584.105352293,1260494.4074385474,78.17271659127437,0.0051669048976236195,-45.23046536379843,182.19093445829344,False
R2_varcap,0.75,0.1,0.1,1516062.1432938604,1516006.5560900362,1265764.0873025758,1265646.0952146745,-55.58720382419415,-0.003666686242278546,-81.12986829765141,-32.533471718872896,True
