regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,874811.6510021649,872779.0452422788,641898.7748208635,640408.6258611202,-2032.6057598860934,-0.23288892772647318,-2660.201653347502,-1096.4181708446006,True
R3_reference,0.5,1.0,1.0,875285.177291971,873735.1138342978,642861.8246042168,641497.920947922,-1550.0634576732991,-0.17740656557466292,-2112.4556080574316,-760.6809271238833,True
R3_reference,0.75,1.0,1.0,879747.9490745678,879760.1059690531,647589.1955094209,647586.5616421029,12.156894485349767,0.0013818419820206536,-387.0528737100831,377.0084927557298,False
R1_lean,0.3,1.0,1.0,874811.6446824902,872779.0458386494,641898.7702041069,640408.62642333,-2032.5988438407658,-0.23288813515082168,-2660.19408712186,-1096.4125090108223,True
R1_lean,0.5,1.0,1.0,875285.1580260987,873735.0438342304,642861.8068351422,641497.8613834842,-1550.1141918683425,-0.17741238637584486,-2112.5538103527506,-760.6690901408731,True
R1_lean,0.75,1.0,1.0,879712.5377041284,879724.7034559506,647623.8931748137,647621.2839576978,12.16575182217639,0.0013829044216200701,-387.03418634796395,379.0658261348755,False
R2_varcap,0.3,1.0,1.0,841726.9279728604,839956.3120932502,612588.6956948978,611414.253397194,-1770.6158796101809,-0.21079856822524964,-2513.0102507623697,-1088.6569742073625,True
R2_varcap,0.5,1.0,1.0,846495.0121227802,845189.6358045472,619879.1581604404,618777.7588236929,-1305.3763182329712,-0.15444774319675209,-1712.6571691029153,-761.0397445582465,True
R2_varcap,0.75,1.0,1.0,867535.3720201072,868073.3532817304,639713.6282114679,640251.8079868519,537.9812616232084,0.06197417068377726,173.1656449545728,895.5303711356827,True
