grid,display,policy,cvar95,mean,cvar_reduction_vs_agnostic_pct
us_west,Western US,B0_carbon_agnostic,2047634.926315789,1604614.2552486188,0.0
us_west,Western US,B1_greedy_time_shift,2006140.9842105266,1542243.8403314918,2.02643262097119
us_west,Western US,B2_threshold,2013711.1326315794,1556556.5462983425,1.6567305650156663
us_west,Western US,LP_time_shift_phi0,2006140.9842105266,1542243.8403314918,2.02643262097119
us_west,Western US,LP_transfer,1925134.7894736843,1417232.450276243,5.982518429811774
taskc,Eastern US-Canada,B0_carbon_agnostic,1519134.5894736843,1271595.681767956,0.0
taskc,Eastern US-Canada,B1_greedy_time_shift,1511134.2157894738,1255896.1353591161,0.5266402160576344
taskc,Eastern US-Canada,B2_threshold,1511353.894736842,1257884.3588950278,0.5121794204908453
taskc,Eastern US-Canada,LP_time_shift_phi0,1511134.2157894738,1255896.1353591161,0.5266402160576344
taskc,Eastern US-Canada,LP_transfer,1361419.1736842105,1111950.9961325966,10.381925135686332
us_hetero,Diversified,B0_carbon_agnostic,907067.4315789473,671927.1857534247,0.0
us_hetero,Diversified,B1_greedy_time_shift,874121.9578947368,640692.0389041096,3.632086495142024
us_hetero,Diversified,B2_threshold,881418.9221052631,646770.618739726,2.8276298520648524
us_hetero,Diversified,LP_time_shift_phi0,874121.9578947368,640692.0389041096,3.632086495142024
us_hetero,Diversified,LP_transfer,795124.3894736842,563129.298630137,12.341203995209263
