regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,872922.3583959982,873362.6045898418,640707.1960357018,640941.1908351155,440.24619384354446,0.0504081800079244,374.2845430288755,538.0784644710191,True
R3_reference,0.5,1.0,1.0,875725.8187294654,874640.341605044,643001.2665196212,642046.145413634,-1085.4771244213916,-0.1241055406190667,-1475.3747477848724,-526.9141930859189,True
R3_reference,0.75,1.0,1.0,879816.471574213,879121.11610202,647589.736030935,647007.98208512,-695.3554721929831,-0.07909666364017683,-1042.1119558997684,-200.04056274475596,True
R1_lean,0.3,1.0,1.0,872922.239912228,873361.784119492,640707.1080433725,640941.2929247858,439.54420726408716,0.050327849839139446,373.7215677884786,537.4587288454525,True
R1_lean,0.5,1.0,1.0,875726.1474230448,874640.339721678,643001.551109054,642046.1435118426,-1085.8077013667207,-0.12414333664420725,-1475.8266420694795,-527.0989172913718,True
R1_lean,0.75,1.0,1.0,879781.0519636585,879051.0115495261,647624.425441693,647045.011981634,-730.0404141324107,-0.08304869734983292,-1080.7248255446088,-220.35931986285152,True
R2_varcap,0.3,1.0,1.0,840459.8973411238,839782.1647121934,612044.1656074671,611405.7837808094,-677.7326289303601,-0.08070338445001743,-931.127642465802,-415.9293573284552,True
R2_varcap,0.5,1.0,1.0,848224.4978312239,845224.6591341639,621294.782432051,618810.3629555786,-2999.8386970600113,-0.3549161355671998,-4053.26534465726,-1816.6622056945635,True
R2_varcap,0.75,1.0,1.0,868372.4218697257,866384.8694855749,640164.8891906409,638836.7111778698,-1987.5523841507966,-0.22940755940612473,-2463.4917782412317,-1285.38152996024,True
