grid,M,gain_pct,ci_lo,ci_hi,significant
us_west,1.0,-0.025087225457323274,-0.19927264898901625,0.11796380162017193,False
us_west,1.5,0.022587990460513307,-0.36242361919714755,0.452203653413027,False
us_west,2.0,0.16996281988533948,-1.0798651409476072,1.7204449506910224,False
us_west,2.5,1.649832341899099,-0.7272807910502794,4.198952578149293,False
us_west,3.0,3.666233568522123,0.06862890376985223,6.944014321865355,True
us_west,4.0,8.390890962865628,2.805726976106319,13.091237548108463,True
taskc,1.0,0.07953194953761145,-0.01144159926994983,0.22630195937721473,False
taskc,1.5,0.22775555623627258,0.06319224101578962,0.3995880083546284,True
taskc,2.0,0.35525207750230753,0.11833331918145289,0.529723032304195,True
taskc,2.5,0.33702050407782325,0.12059076714897127,0.5131967871328552,True
taskc,3.0,0.32680709752392023,0.14139378512788103,0.49105575938639584,True
taskc,4.0,0.3335500319678217,0.18343148628457848,0.4868999316763508,True
us_hetero,1.0,-0.12065591635231679,-0.39517436338984435,0.141810750083538,False
us_hetero,1.5,0.0693117903455597,-0.3054044096861463,0.24080419801028097,False
us_hetero,2.0,0.3449678079242053,-0.3381288765533035,0.9604247782755326,False
us_hetero,2.5,0.7745647837832316,-0.12061616156510191,1.500853016186083,False
us_hetero,3.0,1.3209753985494983,0.00803970989414565,2.077023006487622,True
us_hetero,4.0,1.4658539726171271,0.18185420220026277,2.7519422411435417,True
