regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,935324.1243564171,934231.8508256022,641898.7748203366,640408.6258610608,-1092.273530814913,-0.11691675143056253,-2263.8063455182128,141.2262146162385,False
R3_reference,0.5,1.0,1.0,936601.1084480126,935683.1041164049,642861.8246042145,641497.9209479743,-918.0043316077208,-0.0981106025714359,-1949.2218042006366,37.359970945632085,False
R3_reference,0.75,1.0,1.0,936370.5874095807,935516.238200108,647589.1955094208,647586.5616420982,-854.3492094726535,-0.09132382470628021,-1256.1055168587568,188.05843947720408,False
R1_lean,0.3,1.0,1.0,935324.1193005553,934231.8514796775,641898.7702041062,640408.626423341,-1092.267820877838,-0.11691614015812629,-2263.8006636216305,141.22959391424004,False
R1_lean,0.5,1.0,1.0,936601.0897872489,935683.0900392114,642861.8068460326,641497.8613834945,-917.9997480374295,-0.09811011418395509,-1949.2966784965479,37.444547011633404,False
R1_lean,0.75,1.0,1.0,936298.8572440085,935444.4966341553,647623.893174813,647621.2839576972,-854.3606098531745,-0.09133204727028375,-1256.074712740752,188.00488825230843,False
R2_varcap,0.3,1.0,1.0,907056.3090897282,903799.7610718827,612588.6956971255,611414.2533972021,-3256.548017845489,-0.3603174240700517,-4217.140559412888,-1088.0738736819392,True
R2_varcap,0.5,1.0,1.0,906490.709000662,904662.5486736906,619879.1581604257,618777.7588237419,-1828.1603269713232,-0.20208201717331573,-2764.2659934962285,-367.5954149335157,True
R2_varcap,0.75,1.0,1.0,921254.8466209825,921419.2372393273,639713.6282103922,640251.8079868543,164.39061834476888,0.017841023032827176,-720.057960559614,1043.6546989082126,False
