regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,3.0,0.1,889900.9620179161,893429.541208807,662302.1620902158,665762.5371463331,3528.579190890887,0.39494767389454477,2805.6784938182186,4301.68578108811,True
R3_reference,0.5,30.0,1.0,889800.8156659242,895771.6574508112,661202.7661627602,667123.771451623,5970.841784887016,0.6665584622177988,5072.804285342249,6828.971118324005,True
R3_reference,0.75,0.1,30.0,893665.3744793483,898192.5002239617,663951.1447829456,668585.8319961336,4527.125744613353,0.5040262241651459,3676.7875873074518,5402.606132435603,True
R1_lean,0.3,30.0,100.0,889900.9454425155,893428.4826047824,662302.1527481786,665761.5682276991,3527.5371622669045,0.3948315092868321,2804.6548510521943,4300.80126821792,True
R1_lean,0.5,300.0,0.03,889800.8666304433,895771.6412189096,661202.8161143773,667123.7695278807,5970.774588466389,0.6665509727838376,5072.728601287969,6828.911861851101,True
R1_lean,0.75,10.0,3.0,893665.4700657456,898191.641462253,663951.2259796417,668585.0476571347,4526.171396507416,0.5039204538954319,3675.827559542877,5401.624121981317,True
R2_varcap,0.3,30.0,0.1,873308.5147589254,886208.8175997218,651104.0130648649,664285.5861611771,12900.302840796416,1.4556730405522953,9984.722435063562,15679.13854475311,True
R2_varcap,0.5,30.0,0.03,877670.2298574336,886586.0436908666,654486.7417600142,663640.6109619637,8915.81383343297,1.0056343540347588,7056.454344043002,10723.291731088651,True
R2_varcap,0.75,30.0,100.0,884145.2359429431,895208.658801687,658465.8898309618,668781.0723183012,11063.422858743812,1.2358485086095061,9382.322353448133,12583.347171300284,True
