grid,display,lam_frac,lam,cvar_reduction_pct,transfer_used
us_west,Western US,0.0,0.0,4.037911361883698,960.0
us_west,Western US,0.05,18.378441649460886,4.037911361883698,720.0
us_west,Western US,0.1,36.75688329892177,4.396269971968998,480.0
us_west,Western US,0.2,73.51376659784354,4.396269971968998,480.0
us_west,Western US,0.35,128.64909154622617,4.396269971968998,480.0
us_west,Western US,0.5,183.78441649460885,3.360910088947486,360.0
us_west,Western US,0.75,275.67662474191326,0.0,0.0
us_west,Western US,1.0,367.5688329892177,0.0,0.0
us_west,Western US,1.5,551.3532494838265,0.0,0.0
taskc,Eastern US-Canada,0.0,0.0,9.907461596787847,768.0
taskc,Eastern US-Canada,0.05,15.9551346316529,9.907461596787847,720.0
taskc,Eastern US-Canada,0.1,31.9102692633058,9.907461596787847,720.0
taskc,Eastern US-Canada,0.2,63.8205385266116,9.907461596787847,720.0
taskc,Eastern US-Canada,0.35,111.68594242157029,8.82723047405234,480.0
taskc,Eastern US-Canada,0.5,159.551346316529,8.82723047405234,480.0
taskc,Eastern US-Canada,0.75,239.32701947479347,6.063690375254242,240.0
taskc,Eastern US-Canada,1.0,319.102692633058,6.063690375254242,240.0
taskc,Eastern US-Canada,1.5,478.65403894958695,0.0,0.0
us_hetero,Diversified,0.0,0.0,9.03736231627367,576.0
us_hetero,Diversified,0.05,12.813857964483994,9.03736231627367,480.0
us_hetero,Diversified,0.1,25.627715928967987,9.03736231627367,480.0
us_hetero,Diversified,0.2,51.255431857935974,9.03736231627367,480.0
us_hetero,Diversified,0.35,89.69700575138793,6.658717958493702,260.0
us_hetero,Diversified,0.5,128.13857964483992,6.525636444371375,240.0
us_hetero,Diversified,0.75,192.20786946725988,6.525636444371375,240.0
us_hetero,Diversified,1.0,256.27715928967984,6.525636444371375,240.0
us_hetero,Diversified,1.5,384.41573893451977,0.0,0.0
