grid,x_apriori,x_star,Delta_apriori,Delta_star,verdict
us_west,489.8979485566356,461.8427570655393,1.923569857408216,1.8134119748224933,inconclusive
taskc,438.17804600413297,413.1131839486631,3.410624300697695,3.215528201293357,inconclusive
us_hetero,379.4733192202055,357.4912733349379,1.546177458992354,1.4566108356519305,inconclusive
