regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,2007264.2241040778,2006922.547057337,1542543.1080653232,1541132.8880690334,-341.6770467408933,-0.0170249244168331,-738.6899141300004,-94.51160233172713,True
R3_reference,0.5,0.1,0.1,2007498.4454727054,2007498.4577730345,1541938.6225163722,1541938.6019461236,0.012300329050049186,6.127192278739896e-07,-0.007664677349384874,0.03763199581881053,False
R3_reference,0.75,0.1,0.0,2010873.7516740898,2010776.4068346792,1545829.497309358,1546080.2762195054,-97.34483941062354,-0.004841156832741124,-352.942797625839,110.85676850813906,False
R1_lean,0.3,1.0,1.0,2008021.0491542649,2008032.897631965,1540831.9542585295,1540529.5553925426,11.848477700259537,0.0005900539634700317,-185.32667601561988,133.87736579463814,False
R1_lean,0.5,0.0,1.0,2009196.9286414483,2009335.0611211825,1542421.6073248512,1542128.4350790102,138.13247973425314,0.006874536875755159,-105.31098229068448,447.6337416700552,False
R1_lean,0.75,0.0,0.0,2012553.7717346395,2012553.7790147015,1550301.5582828405,1550301.5672286532,0.007280061952769756,3.61732542438389e-07,0.00445935784955509,0.009051783877657727,True
R2_varcap,0.3,0.0,0.0,1967881.9552312791,1967881.9592910688,1476374.6250295553,1476374.671064499,0.004059789702296257,2.063025011804468e-07,-0.009929192299023271,0.018418091285275294,False
R2_varcap,0.5,0.1,0.1,1974109.8705430431,1974109.8708810527,1491332.9803704303,1491332.979910915,0.0003380095586180687,1.712212494369494e-08,-0.0009244629240129143,0.0018783757870551197,False
R2_varcap,0.75,0.1,0.1,1996233.5541573493,1996233.5365036703,1534553.8722032283,1534553.8464721942,-0.017653679009526968,-8.843493853152441e-07,-0.0221426097152289,-0.011548458359902727,True
