regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,1068155.162566338,1068271.0576475519,789017.8658854584,789070.4902210713,115.89508121390827,0.010848845935143254,25.773457592417255,204.8561976977158,True
R3_reference,0.5,1.0,1.0,1068134.4873734291,1068250.3141401748,789014.4937599942,789067.0479019897,115.826766745653,0.01084266161333928,25.694485189230182,204.80584642862667,True
R3_reference,0.75,1.0,1.0,1068429.0264218703,1067927.7157906038,789906.0096960214,789407.7143606701,-501.31063126656227,-0.04694237483062551,-772.8097145505541,-174.95915010070917,True
R1_lean,0.3,1.0,1.0,1068155.225125219,1068271.057589308,789017.9282205374,789070.490118662,115.83246408891864,0.010842984396704485,25.706487832096172,204.8045496007602,True
R1_lean,0.5,1.0,1.0,1068134.5145686062,1068250.3114213403,789014.518487856,789067.01833605,115.79685273417272,0.010839861359843779,25.608562946598976,204.83886611068735,True
R1_lean,0.75,1.0,1.0,1068429.0033255445,1067927.1504723753,789905.994463235,789407.4257512396,-501.8528531691991,-0.046993172984432036,-773.5483425611922,-175.32926360121368,True
R2_varcap,0.3,1.0,1.0,1022927.8483240118,1022204.4462914484,748659.9882378092,747981.3461243681,-723.4020325633464,-0.07076882077629819,-1039.556576953709,-295.043041764712,True
R2_varcap,0.5,1.0,1.0,1025173.2982780616,1024541.2446861387,752060.2650152899,751684.6387353195,-632.0535919228569,-0.061691376037914636,-1480.6899627811333,115.58472041505142,False
R2_varcap,0.75,1.0,1.0,1036097.1181232958,1035841.9918461546,763639.6959667441,763639.6069409461,-255.12627714127302,-0.024629845010103138,-1019.4274605448358,433.31411902597466,False
