regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,1956478.312956044,1956716.9485410862,1543587.5645599524,1542810.8755913374,238.63558504218236,0.012195713090751695,-449.41394656177147,834.2956191067117,False
R3_reference,0.5,1.0,1.0,1958374.6869634953,1958019.62314742,1544800.5896516412,1542970.2410486983,-355.0638160754461,-0.01813382316897818,-1335.9681525837746,527.8449540473925,False
R3_reference,0.75,1.0,1.0,1962570.2946377795,1962108.6084030487,1547355.977043629,1546676.403823885,-461.6862347307615,-0.023530105966281134,-728.4624047248741,-98.73325321487508,True
R1_lean,0.3,1.0,1.0,1958035.004710069,1957682.7905411532,1544303.7196978237,1543142.6770585964,-352.2141689157579,-0.017991380964144706,-751.6286537396838,67.74479147382075,False
R1_lean,0.5,1.0,1.0,1960044.7922962639,1959674.4384573372,1545447.4202248305,1543665.6229845486,-370.35383892664686,-0.018898743161552423,-1086.1922859170766,334.5143034985404,False
R1_lean,0.75,1.0,1.0,1964339.0784656813,1964378.1584876534,1551103.991132736,1551053.3816154457,39.08002197206952,0.0019894347635262175,-13.10899095518398,110.86243556427651,False
R2_varcap,0.3,1.0,1.0,1909031.437489255,1908964.9246648783,1477971.4751954915,1477490.0393030432,-66.5128243768122,-0.0034842350174919337,-330.67723739704815,274.6596196919679,False
R2_varcap,0.5,1.0,1.0,1917587.641716997,1916737.7349860794,1493938.9416056373,1491810.0742257477,-849.9067309175152,-0.044341315736849504,-2016.007584773167,704.5698446933354,False
R2_varcap,0.75,1.0,0.0,1946626.7536494473,1946385.6458481352,1535194.5671524638,1534553.563253034,-241.10780131211504,-0.01238746297921102,-552.8532333087409,95.52516643165144,False
