grid,p,mean,std,min,max,frac_positive
us_west,0.0,-0.3559529170837063,0.3480601691429488,-0.5762823097685817,0.04530815571016301,0.3333333333333333
us_west,0.1,-0.25618687298529036,0.3253018573216913,-0.6089465975946995,0.03195940152389718,0.3333333333333333
us_west,0.2,-0.2541245852421103,0.1318601243672037,-0.3972579950344657,-0.13759442130367616,0.0
us_west,0.3,-0.3028966633850967,0.16284114011900042,-0.4819147817163258,-0.1635717242501845,0.0
taskc,0.0,0.23522024371973563,0.3132924547876055,-0.0033193653725828555,0.5900241294461069,0.6666666666666666
taskc,0.1,0.12226762769533756,0.23911048516004638,-0.030048348073224644,0.39785908006771764,0.3333333333333333
taskc,0.2,0.22172553239736692,0.2585761715599463,-0.006801835154037095,0.502401560092076,0.6666666666666666
taskc,0.3,0.146230354180762,0.19704954829608887,-0.06037493001073931,0.3320812663480556,0.6666666666666666
us_hetero,0.0,-0.8478902626888045,0.5701933005133833,-1.2438202882569858,-0.19434873482680723,0.0
us_hetero,0.1,-1.0551462643498783,1.3166866618336146,-2.4875631401154052,0.102423914021504,0.3333333333333333
us_hetero,0.2,-1.905136505956486,1.3777570880403924,-3.32626594720651,-0.5752916168658286,0.0
us_hetero,0.3,-2.3281369607733993,1.9724674060193645,-3.8153511478121356,-0.09061784199558412,0.0
