regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,1515085.8275193698,1514580.5619417063,1262998.271070715,1262385.170976897,-505.26557766343467,-0.03336009918255385,-575.5321143515757,-349.8191409398103,True
R3_reference,0.5,0.1,1.0,1515267.5343555887,1515381.920483747,1263252.6680514794,1264064.8617657183,114.38612815830857,0.007548336601626717,11.967703703854932,333.94307367361614,True
R3_reference,0.75,1.0,0.0,1517182.7830542533,1516937.0882324362,1267932.8204201118,1267478.9999801086,-245.6948218171019,-0.01619677069820939,-462.9590580310207,56.519853739329776,False
R1_lean,0.3,1.0,1.0,1515087.7819884277,1514580.482856593,1263000.8583043066,1262384.917658341,-507.2991318346467,-0.033494366101816456,-577.8952556781703,-351.4083651463036,True
R1_lean,0.5,0.1,1.0,1515267.5377526982,1515381.8825431683,1263252.672968356,1264064.8591321264,114.3447904700879,0.0075456089179441925,11.94613519468694,333.9308080808667,True
R1_lean,0.75,1.0,0.0,1517182.7825012761,1516937.082592966,1267932.8198114547,1267478.9926122548,-245.6999083100818,-0.016197106071802025,-462.96585809205425,56.51828217974391,False
R2_varcap,0.3,0.1,1.0,1511160.4632697091,1512217.6530653522,1257123.6372053255,1259510.6177351275,1057.1897956430912,0.06990989646894458,509.09927222334665,1563.3435852721216,True
R2_varcap,0.5,1.0,0.0,1513230.055348225,1511988.8547794148,1261787.6999596118,1259468.5597247202,-1241.2005688101053,-0.08209058981398279,-1786.2381129960238,-689.2577987056808,True
R2_varcap,0.75,1.0,1.0,1515569.8746716646,1515652.669727429,1266281.353510683,1266363.6833117572,82.79505576449446,0.0054626668377382335,-8.843953676125965,184.0412609005405,False
