regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,1077646.1474345797,1078224.3901409842,744254.2930413074,744451.1836736558,578.2427064045332,0.05362916213840466,-134.3078637113387,1560.1858090281892,False
R3_reference,0.5,1.0,1.0,1079570.7283481613,1079570.8303786346,745410.074193525,745410.1390558871,0.10203047329559922,9.451021686072639e-06,0.08662100846995599,0.13155071840446908,True
R3_reference,0.75,1.0,1.0,1089277.0288369667,1090289.151652436,750102.6788611432,749994.0166762606,1012.1228154692799,0.09283067835127153,203.24512226174704,1533.344090149476,True
R1_lean,0.3,1.0,1.0,1077646.1510307791,1078224.3896181595,744254.2959506293,744451.183239753,578.2385873803869,0.05362878014521294,-134.31124064486357,1560.182395422377,False
R1_lean,0.5,1.0,1.0,1079570.7935759502,1079570.8300726013,745410.1146130842,745410.1388128652,0.03649665112607181,3.3806629550760835e-06,0.028024885151535273,0.05032508058648091,True
R1_lean,0.75,1.0,1.0,1089286.7075116022,1090133.381752362,750163.7721301062,750009.0167301164,846.6742407598067,0.0776670318451123,57.78454953492037,1383.354015577753,True
R2_varcap,0.3,1.0,1.0,1045157.103384385,1047365.320356753,722551.6940859274,721902.7289903723,2208.2169723679544,0.2108354104770046,97.16717346844675,4124.765299345366,True
R2_varcap,0.5,1.0,1.0,1056777.8453248285,1057577.6018755988,728845.2097085032,729034.1572132012,799.7565507702529,0.07562154770977525,36.0726702348562,1487.401319269248,True
R2_varcap,0.75,1.0,1.0,1079805.4436908958,1080401.8535054235,744527.8442830935,744451.267877221,596.4098145277239,0.05520259083160949,144.29828284314425,1038.7463674811065,True
