case,variant,regime,alpha,gap_pct,p_boot,bh_significant
us_hetero,baseline,R2_varcap,0.5,-0.15444774318690538,0.001,True
us_hetero,baseline,R2_varcap,0.3,-0.2107985684576753,0.001,True
us_hetero,ablate-flat,R2_varcap,0.5,1.00535047247565,0.001,True
us_west,lw,R2_varcap,0.75,1.8781993114850642e-05,0.001,True
us_west,baseline,R2_varcap,0.75,2.826298022566678e-06,0.001,True
us_west,ablate-flat,R1_lean,0.75,-0.017959711649286596,0.001,True
us_west,ablate-flat,R1_lean,0.5,-0.03170370930965122,0.001,True
us_hetero,seasonal,R2_varcap,0.3,-0.08070338445001743,0.001,True
us_hetero,seasonal,R2_varcap,0.5,-0.3549161355671998,0.001,True
us_hetero,seasonal,R2_varcap,0.75,-0.22940755940612473,0.001,True
us_hetero,seasonal,R3_reference,0.5,-0.1241055406190667,0.001,True
us_hetero,seasonal,R1_lean,0.3,0.050327849839139446,0.001,True
us_hetero,seasonal,R1_lean,0.5,-0.12414333664420725,0.001,True
us_hetero,seasonal,R3_reference,0.3,0.0504081800079244,0.001,True
us_hetero,lw,R2_varcap,0.3,-0.20598122047759707,0.001,True
us_hetero,lw,R2_varcap,0.5,-0.15445549525130906,0.001,True
us_hetero,lw,R1_lean,0.5,-0.17741330735663344,0.001,True
us_hetero,lw,R1_lean,0.3,-0.232887882825848,0.001,True
us_west,ablate-level,R2_varcap,0.75,2.8262996554573085e-06,0.001,True
us_west,seasonal,R2_varcap,0.75,1.598557535684409e-06,0.001,True
us_west,ar1,R2_varcap,0.75,-8.843493853152441e-07,0.001,True
us_west,ar1,R1_lean,0.75,3.61732542438389e-07,0.001,True
us_hetero,seasonal,R1_lean,0.75,-0.08304869734983292,0.002,True
us_hetero,ar1,R1_lean,0.5,-1.0923657355884018e-06,0.002,True
us_hetero,seasonal,R3_reference,0.75,-0.07909666364017683,0.002,True
us_west,ablate-flat,R1_lean,0.3,-0.03027261097499783,0.002,True
us_hetero,ablate-level,R2_varcap,0.75,0.06197417068377726,0.006,True
us_hetero,lw,R2_varcap,0.75,0.05488797317751033,0.006,True
us_hetero,baseline,R2_varcap,0.75,0.06197417096084359,0.006,True
us_hetero,ar1,R1_lean,0.75,7.062917907392989e-06,0.008,True
us_west,ar1,R3_reference,0.3,-0.0170249244168331,0.012,True
us_hetero,ar1,R2_varcap,0.5,-0.034450574295122015,0.016,True
us_west,ablate-flat,R3_reference,0.5,-0.01711396451254562,0.028,True
us_west,ablate-flat,R2_varcap,0.3,-0.03617012964087759,0.034,False
taskc,seasonal,R1_lean,0.5,0.0075456089179441925,0.036,False
taskc,seasonal,R3_reference,0.5,0.007548336601626717,0.036,False
taskC,seasonal,R3_reference,0.5,0.007548336601626717,0.036,False
taskC,seasonal,R1_lean,0.5,0.0075456089179441925,0.036,False
us_hetero,ar1,R3_reference,0.75,6.30849637189821e-06,0.04,False
us_west,lw,R3_reference,0.3,0.042988249228819955,0.054,False
us_west,baseline,R3_reference,0.3,0.04299036852553361,0.054,False
us_west,ablate-level,R3_reference,0.3,0.04299036311415927,0.054,False
us_west,ablate-flat,R3_reference,0.75,-0.007505581091294331,0.07,False
taskC,seasonal,R2_varcap,0.75,0.0054626668377382335,0.078,False
taskc,ar1,R2_varcap,0.3,-6.877306574528202e-07,0.078,False
us_west,ablate-flat,R3_reference,0.3,-0.015208351431099222,0.086,False
us_west,ablate-flat,R2_varcap,0.5,-0.023115122402635375,0.088,False
us_hetero,ar1,R1_lean,0.3,-0.0003471867476754702,0.094,False
us_hetero,ar1,R3_reference,0.3,-0.00034858084719726533,0.094,False
taskC,baseline,R2_varcap,0.3,-0.002659614376570667,0.1,False
taskC,lw,R2_varcap,0.3,-0.0026568495642284727,0.1,False
taskC,seasonal,R3_reference,0.75,-0.01619677069820939,0.116,False
taskc,seasonal,R1_lean,0.75,-0.016197106071802025,0.116,False
taskc,seasonal,R3_reference,0.75,-0.01619677069820939,0.116,False
taskC,seasonal,R1_lean,0.75,-0.016197106071802025,0.116,False
taskc,seasonal,R2_varcap,0.3,-2.7079175751005215e-06,0.122,False
us_west,seasonal,R1_lean,0.3,0.06637471845047051,0.124,False
us_west,seasonal,R1_lean,0.5,0.014367024275476798,0.188,False
taskc,baseline,R2_varcap,0.75,0.009102613701961025,0.21,False
taskc,lw,R2_varcap,0.75,0.009103798430147067,0.21,False
taskc,ablate-level,R2_varcap,0.75,0.009102613701699867,0.21,False
taskc,seasonal,R2_varcap,0.5,0.0051669048976236195,0.222,False
us_west,lw,R1_lean,0.75,0.0024672126746988795,0.26,False
us_west,baseline,R1_lean,0.75,0.00246436012762398,0.26,False
us_west,ablate-level,R1_lean,0.75,0.0024643601284802027,0.26,False
us_west,ar1,R3_reference,0.5,6.127192278739896e-07,0.334,False
us_west,ablate-flat,R2_varcap,0.75,0.004122749430400332,0.34,False
us_west,seasonal,R3_reference,0.5,0.03636069093740278,0.34,False
us_west,ar1,R1_lean,0.5,0.006874536875755159,0.358,False
us_west,lw,R1_lean,0.5,0.02776684020868901,0.386,False
us_west,ablate-level,R1_lean,0.5,0.02776761828828616,0.386,False
us_west,baseline,R1_lean,0.5,0.027767563939847834,0.386,False
us_west,baseline,R1_lean,0.3,0.013727848604804376,0.442,False
us_west,ablate-level,R1_lean,0.3,0.013727847147852986,0.442,False
