regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,0.0,0.0,1801516.7708926406,1801516.7708920494,1505589.685408512,1505589.6855472913,-5.91157004237175e-07,-3.28144047165575e-11,-4.991061287000775e-05,5.4320396156981577e-05,False
R3_reference,0.5,0.0,0.0,1801553.1633613098,1801553.1634242735,1505626.3593855293,1505626.3594967413,6.2963692471385e-05,3.49496721771495e-09,-8.030189201235772e-06,0.00012029708595946431,False
R3_reference,0.75,1.0,1.0,1802268.2967456412,1802268.3089386642,1506682.739313614,1506682.758039144,0.012193022994324565,6.765376128432786e-07,0.007998280070023612,0.01695254952646792,True
R1_lean,0.3,0.0,0.0,1801516.7700639288,1801516.7708732663,1505589.677333681,1505589.6854647135,0.0008093374781310558,4.492533687259198e-08,-0.0031210396846290678,0.004677692247787491,False
R1_lean,0.5,0.0,0.0,1801553.1615097586,1801553.1634223626,1505626.357467824,1505626.3594644228,0.0019126040861010551,1.0616417682993777e-07,-0.002006488019833341,0.00471630814136006,False
R1_lean,0.75,1.0,1.0,1802268.294906266,1802268.309207177,1506682.736646482,1506682.7583377808,0.01430091098882258,7.93495114781971e-07,0.009329337091185153,0.019820747518679127,True
R2_varcap,0.3,1.0,1.0,1796617.0885146838,1796263.337357141,1496973.0130174519,1496640.7023550433,-353.75115754269063,-0.019693724755478672,-479.5320264387119,-221.40544883605327,True
R2_varcap,0.5,1.0,1.0,1796847.568247265,1797436.892662877,1498202.5073185547,1498911.4863324014,589.3244156120345,0.032786932215403616,271.1534437838767,843.6381226607074,True
R2_varcap,0.75,1.0,1.0,1799032.5851450865,1799898.0040136755,1503225.585773417,1503986.3565822123,865.4188685889821,0.04808155054670569,601.5263548713352,1031.6885974538395,True
