grid,display,series,n_obs,pair,pearson_rho,chi_U_emp,chi_U_gauss,chi_U_excess,chi_L_emp
us_west,Western US,raw,43824,US-CAL-CISO | US-CAL-BANC,0.42593250715479114,0.3431909456005839,0.20190336652922564,0.14128757907135825,0.06982475355969327
us_west,Western US,raw,43824,US-CAL-CISO | US-CAL-LDWP,0.7545662248040452,0.29937933552391355,0.44490558800297914,-0.1455262524790656,0.48010222709017847
us_west,Western US,raw,43824,US-CAL-CISO | US-NW-NEVP,0.8852413980151275,0.3696604600219055,0.6123896085498565,-0.24272914852795097,0.6425702811244973
us_west,Western US,raw,43824,US-CAL-CISO | US-SW-AZPS,0.7477843944821019,0.2706279664110987,0.4379294068293756,-0.16730144041827688,0.4435925520262866
us_west,Western US,raw,43824,US-CAL-BANC | US-CAL-LDWP,0.586363417402033,0.1720518437385906,0.30058615366220537,-0.12853430992361478,0.24233296823658246
us_west,Western US,raw,43824,US-CAL-BANC | US-NW-NEVP,0.2870589232274679,0.18939393939393923,0.13737120328540786,0.052022736108531364,0.10496531580868922
us_west,Western US,raw,43824,US-CAL-BANC | US-SW-AZPS,0.19891993820516166,0.08579773640014597,0.10454128494530747,-0.018743548545161498,0.07986491420226353
us_west,Western US,raw,43824,US-CAL-LDWP | US-NW-NEVP,0.714473134807945,0.4654983570646217,0.40534578003688726,0.060152577027734466,0.4244249726177433
us_west,Western US,raw,43824,US-CAL-LDWP | US-SW-AZPS,0.5417145078037509,0.23274917853231086,0.27005537369662247,-0.037306195164311606,0.2893391748813433
us_west,Western US,raw,43824,US-NW-NEVP | US-SW-AZPS,0.7401465375476926,0.29299014238773247,0.4302174583911174,-0.13722731600338495,0.4974443227455271
us_west,Western US,residual,43824,US-CAL-CISO | US-CAL-BANC,0.6072869253855137,0.19989047097480814,0.3158378881469767,-0.11594741717216858,0.305312157721796
us_west,Western US,residual,43824,US-CAL-CISO | US-CAL-LDWP,0.721181175069074,0.2491785323110622,0.4116947369209241,-0.1625162046098619,0.48329682365826904
