regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,0.0,0.0,396049.4488795386,396049.4602694788,263220.0389562392,263220.0460236535,0.011389940162189305,2.8758883182013165e-06,0.009352067571307998,0.013048822144628502,True
R3_reference,0.5,0.1,0.1,396821.4267356379,396821.42634601804,263825.75751471164,263825.7572666076,-0.0003896198468282819,-9.818518380319096e-08,-0.00047789393574930726,-0.0003175062229274772,True
R3_reference,0.75,1.0,1.0,400348.04543456936,400432.12310995953,265706.66643646575,265646.3340074306,84.07767539017368,0.02099673591049182,-107.6126998464184,226.1059286131363,False
R1_lean,0.3,1.0,0.1,397366.23969614925,397359.57210071274,264215.10535084805,263796.289635163,-6.667595436505508,-0.0016779752910584403,-843.2701801891569,678.3757860853045,False
R1_lean,0.5,0.1,1.0,398758.40430995054,398818.8153999537,264594.6253355443,264613.6610031413,60.41109000315191,0.015147502492471153,-17.859008969059506,128.81410183729162,False
R1_lean,0.75,1.0,10.0,400822.11920299404,402113.3549839359,266388.249205065,266971.04268027475,1291.2357809418463,0.32111238409214987,745.949487846902,1870.1376742108812,True
R2_full,0.3,1.0,0.0,398337.7686908678,398308.00541052694,264950.614192921,264689.3833788289,-29.763280340877827,-0.0074724283560912855,-562.8105956547355,495.41149889220395,False
R2_full,0.5,0.1,0.1,399622.19478131644,399622.1990451538,265257.72265314223,265257.7227899306,0.004263837356120348,1.0669670919954503e-06,-0.003786104838945903,0.012706487835384903,False
R2_full,0.75,1.0,1.0,401931.8226089915,401869.47747463116,266895.066193608,266892.7252915231,-62.3451343603665,-0.015513776948711457,-151.57921644973976,18.641965179615358,False
