regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,2117917.757975813,2118510.1565398495,1626894.991533803,1627127.9301851327,592.3985640364699,0.027962979653778537,108.8365656826063,1055.5760909557284,True
R3_reference,0.5,1.0,1.0,2119528.681082342,2119608.6099147713,1628310.996279668,1628129.8363549719,79.92883242946118,0.003770924125123038,-82.19146375368582,263.95658746000845,False
R3_reference,0.75,1.0,1.0,2124935.65486842,2124886.9801669675,1632301.450267471,1632193.3589494163,-48.67470145272091,-0.0022906960185193562,-123.64853801878635,51.570562388357914,False
R1_lean,0.3,1.0,1.0,2119361.1907410705,2119589.7091393573,1627567.8216182243,1627667.1887409536,228.51839828677475,0.010781256263956993,76.52515514136758,338.6398797749076,True
R1_lean,0.5,0.1,0.1,2121889.4911895413,2122131.2021741886,1628115.7198444193,1628248.8737771118,241.71098464727402,0.01139001134329648,142.26163146105827,320.7540449715568,True
R1_lean,0.75,0.0,0.0,2126938.461863226,2126938.5090243234,1635815.6439776518,1635815.750254752,0.047161097638309,2.2173230414612645e-06,0.037786724790930745,0.05980010397033766,True
R2_varcap,0.3,0.0,0.0,2081823.89464006,2081823.8932618946,1566069.080657621,1566069.0851977533,-0.0013781653251498938,-6.619989950209106e-08,-0.004710453696316108,0.0021353867428842914,False
R2_varcap,0.5,0.0,0.1,2087887.4722528602,2087908.386819342,1579495.793661595,1579484.334582294,20.914566481718794,0.0010016994334497323,-33.8100570545299,69.0717346013116,False
R2_varcap,0.75,0.0,1.0,2110594.1568628307,2110594.2063974678,1620652.1422639207,1620652.285126481,0.04953463701531291,2.3469521931391356e-06,0.030033150303643195,0.08700811599846928,True
