regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,874811.6510014727,872779.0452422181,641898.7748203366,640408.6258610608,-2032.6057592546567,-0.2328889276541416,-2660.201652646184,-1096.418170308802,True
R3_reference,0.5,1.0,1.0,875285.177291968,873735.113834359,642861.8246042145,641497.9209479743,-1550.0634576090379,-0.17740656556729573,-2112.4556079728673,-760.6809270886968,True
R3_reference,0.75,1.0,1.0,879747.9490745686,879760.1059690472,647589.1955094208,647586.5616420982,12.156894478597678,0.001381841981253171,-387.0528737146436,377.00849274836946,False
R1_lean,0.3,1.0,1.0,874811.6446824897,872779.0458386606,641898.7702041062,640408.626423341,-2032.5988438291242,-0.23288813514948487,-2660.194087110588,-1096.412508998625,True
R1_lean,0.5,1.0,1.0,875285.1580354456,873735.0438342425,642861.8068460326,641497.8613834945,-1550.114201203105,-0.17741238744421695,-2112.553820955346,-760.6691032219593,True
R1_lean,0.75,1.0,1.0,879712.5377041278,879724.7034559501,647623.893174813,647621.2839576972,12.165751822292805,0.001382904421633304,-387.03418634784174,379.06582613417123,False
R2_varcap,0.3,1.0,1.0,841726.9279748178,839956.3120932553,612588.6956971255,611414.2533972021,-1770.6158815624658,-0.2107985684576753,-2513.01025295727,-1088.6569760552811,True
R2_varcap,0.5,1.0,1.0,846495.0121227636,845189.6358046137,619879.1581604257,618777.7588237419,-1305.3763181498507,-0.15444774318690538,-1712.6571691959107,-761.0397442881805,True
R2_varcap,0.75,1.0,1.0,867535.3720177046,868073.353281733,639713.6282103922,640251.8079868543,537.981264028349,0.06197417096084359,173.16564753684798,895.5303726080251,True
