regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,848174.8544022583,846274.2313354022,641898.7748203366,640408.6258610608,-1900.6230668560602,-0.2245871369445952,-2375.7046360805602,-1352.0378492708437,True
R3_reference,0.5,1.0,1.0,848620.8100453833,847199.8690408783,642861.8246042145,641497.9209479743,-1420.9410045050317,-0.16772205195377218,-1836.6065686935938,-869.6289797838837,True
R3_reference,0.75,1.0,1.0,853575.7814084432,853485.4086452579,647589.1955094208,647586.5616420982,-90.37276318529621,-0.010588671144213864,-305.5422572477546,165.718895111163,False
R1_lean,0.3,1.0,1.0,848174.8480451952,846274.2319354243,641898.7702041062,640408.626423341,-1900.6161097709555,-0.22458631470135365,-2375.6981650487373,-1352.031265564269,True
R1_lean,0.5,1.0,1.0,848620.7911772603,847199.802835845,642861.8068460326,641497.8613834945,-1420.988341415301,-0.16772765251582977,-1836.6891540044248,-869.6383737769328,True
R1_lean,0.75,1.0,1.0,853522.9786852394,853432.6217756275,647623.893174813,647621.2839576972,-90.35690961196087,-0.010587468454623503,-305.5268098691915,165.7200230564571,False
R2_varcap,0.3,1.0,1.0,815260.9838652108,813601.0492833382,612588.6956971255,611414.2533972021,-1659.9345818725415,-0.20402316139276092,-2170.917500479103,-1178.5221603067419,True
R2_varcap,0.5,1.0,1.0,821078.3519677133,819996.6167483149,619879.1581604257,618777.7588237419,-1081.735219398397,-0.13191947348368374,-1519.4863582254766,-763.459073488033,True
R2_varcap,0.75,1.0,1.0,842249.7947030183,842952.4486463448,639713.6282103922,640251.8079868543,702.653943326557,0.08335629660426444,398.41349665013547,1032.6519258468613,True
