regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,0.1,1.0,1555398.9421528238,1556752.1440326516,1259760.0345676944,1262197.3883403277,1353.2018798277713,0.08692468386922543,752.5580237349495,1923.766343749959,True
R3_reference,0.5,1.0,1.0,1557855.3842222386,1557785.4930012613,1264299.1419252497,1264123.8079800226,-69.89122097729705,-0.0044865754169172035,-454.47259322484024,275.24304879945703,False
R3_reference,0.75,1.0,1.0,1559041.4228321954,1559607.068674753,1267715.324863858,1268040.0535362263,565.6458425575402,0.036268484153395585,161.8249873310793,700.0738678951748,True
R1_lean,0.3,0.1,1.0,1555398.9487351743,1556752.1430187144,1259760.0415564952,1262197.3865755338,1353.1942835401278,0.08692419596841759,752.5525574928615,1923.7565649374956,True
R1_lean,0.5,1.0,1.0,1557855.3852041229,1557784.9436370134,1264299.1438952012,1264123.8734012817,-70.44156710943207,-0.004521905760943468,-454.65227269823663,273.7505383042153,False
R1_lean,0.75,1.0,1.0,1559041.420479047,1559607.0570243439,1267715.3109971506,1268040.0641907975,565.6365452967584,0.03626788829591256,161.83522424832918,700.057777046226,True
R2_varcap,0.3,0.1,0.1,1555516.1080940806,1555468.4308808097,1255635.3917435836,1255618.1910607107,-47.67721327091567,-0.003065135384581072,-117.65699450671673,38.63938381196931,False
R2_varcap,0.5,1.0,1.0,1558275.421045567,1558633.457221057,1261851.745809985,1262329.4252423549,358.03617549012415,0.02297115937242099,146.66419692099444,703.7786843427457,True
R2_varcap,0.75,1.0,1.0,1558424.0409552231,1558447.8687666222,1265648.7461332718,1265523.8709940233,23.82781139900908,0.0015289450405464476,-152.8414820074802,154.28978313785046,False
