regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R3_reference,0.3,1.0,1.0,946965.7566852607,947722.3235786766,787601.0404669133,788531.3813433761,756.5668934158748,0.07983001714669088,448.0357739492203,1021.2327911914966,True
R3_reference,0.5,1.0,1.0,946544.3821136508,946806.544474856,788206.7841995903,788381.9094124876,262.16236120520625,0.027689115874311367,172.0352621816506,355.7523327217641,True
R3_reference,0.75,1.0,1.0,945624.8769337117,945917.1529622627,789496.805071841,789528.5892563736,292.2760285510449,0.030898692093249865,121.94814512627491,382.8023167202249,True
R1_lean,0.3,1.0,1.0,946965.7555138206,947722.3100735563,787601.0375451989,788531.3661448184,756.5545597356977,0.07982871688195023,448.0273867233365,1021.2180059073289,True
R1_lean,0.5,1.0,1.0,946544.3770171037,946806.5341676729,788206.7712518509,788381.9058946106,262.15715056913905,0.027688565837750426,172.028403684948,355.74921937561885,True
R1_lean,0.75,1.0,1.0,945624.8587003911,945917.1581449048,789496.8543412439,789528.5813708575,292.29944451362826,0.03090116740105173,121.92646730201378,382.8333086293249,True
R2_varcap,0.3,1.0,1.0,945839.9856281906,946063.1808796846,784613.8884680851,784772.3037829867,223.195251494064,0.023592002733530838,151.28814021615545,319.6602465002972,True
R2_varcap,0.5,1.0,1.0,945501.9895787454,945601.847983583,786092.0792791322,786089.3297888858,99.85840483754873,0.010560301362617729,34.07006164139602,164.01180147656706,True
R2_varcap,0.75,1.0,1.0,945100.0790853789,945383.0027546561,788979.0032129928,788988.6366620311,282.9236692772247,0.029926883438018453,102.7890556545608,377.363745738077,True
