regime,alpha,cvar_indep,cvar_gauss,cvar_clayton,cvar_comonotone,clayton_theta,kendall_tau,gap_gauss_pct,gap_gauss_ci_lo,gap_gauss_ci_hi,gap_clayton_pct,gap_clayton_ci_lo,gap_clayton_ci_hi,gap_comonotone_pct,gap_comonotone_ci_lo,gap_comonotone_ci_hi,gap_clayton_vs_gauss_pct,detectable_gauss,detectable_clayton,detectable_comonotone
R3_reference,0.3,2006688.6575286647,2005372.8684210526,2006217.4078947369,2005362.5450877193,1.7701076302579872,0.46951116622016953,0.06557016718440817,-0.01831989614165046,0.186926484843958,0.02348394366808235,-0.05069408279603989,0.10259212799166435,0.06608461337388133,-0.06040116150412655,0.21186665528644477,-0.04208622351632582,False,False,False
R3_reference,0.5,2007972.777631579,2007205.5276315792,2007214.3499999999,2006194.3105263158,1.7701076302579872,0.46951116622016953,0.03821017936830524,-0.02251819424863593,0.11074822504066562,0.03777081243470235,-0.037125436142336675,0.12598843053751438,0.08857027969078658,-0.03860939386515967,0.2503880843593799,-0.0004393669336028825,False,False,False
R3_reference,0.75,2011138.5315789476,2011638.489473684,2011409.5736842104,2010935.1131578947,1.7701076302579872,0.46951116622016953,-0.02485944587536283,-0.08931845324135021,0.05859412440539387,-0.01347704800076953,-0.03698171335112561,0.010074533691545496,0.010114590211404179,-0.07925994542900003,0.11180229396690866,0.0113823978745933,False,False,False
R1_lean,0.3,2006444.7862807014,2005925.8580877192,2006279.2529473684,2006121.412263158,1.7701076302579872,0.46951116622016953,0.02586306867402726,-0.03872102934872872,0.0855558946360373,0.008250081660099978,-0.04813463393926249,0.07134416491202593,0.016116766319935617,-0.06915147387025009,0.11292095193064576,-0.017612987013927283,False,False,False
R1_lean,0.5,2008116.2486842107,2007546.410526316,2007543.4168421049,2007594.9126315792,1.7701076302579872,0.46951116622016953,0.02837675150869212,-0.054672990731752025,0.10930312020248363,0.02852583073719838,-0.038203055081144084,0.10479296933707925,0.025961447848105987,-0.08440121798120312,0.15333657171788828,0.00014907922850626476,False,False,False
R1_lean,0.75,2012338.7726315788,2011618.4505263155,2011954.734912281,2011719.558157895,1.7701076302579872,0.46951116622016953,0.03579527041171995,-0.08574808888749584,0.15607293171191558,0.019084148480412514,-0.0014077834802303118,0.02925011666036929,0.030770886199945974,-0.11721153138746518,0.1709624655178672,-0.016711121931307433,False,False,False
R2_varcap,0.3,1967710.7459156204,1968761.1813708262,1967627.7753121876,1968534.9235456805,1.7701076302579872,0.46951116622016953,-0.05338363158234718,-0.33802544812877244,0.25853440087888907,0.0042166056980153886,-0.0656659434259674,0.072220803212236,-0.04188510083460519,-0.3282488640991386,0.25508188173360274,0.057600237280362565,False,False,False
R2_varcap,0.5,1973747.008879297,1974926.4197104757,1973597.026914463,1975070.126586127,1.7701076302579872,0.46951116622016953,-0.059754914174560116,-0.37590823270340057,0.305995364222912,0.007598844439500629,-0.10776689997285982,0.14984025741017665,-0.06703583087791075,-0.42049940846232337,0.3299094629931432,0.06735375861406075,False,False,False
R2_varcap,0.75,1996370.8031665178,1996786.5888956299,1996057.0972947404,1997052.9207845933,1.7701076302579872,0.46951116622016953,-0.02082707924062055,-0.2953874564879153,0.3165043031459042,0.015713807839695695,-0.04989454199576424,0.09190470998211303,-0.03416788188815625,-0.30852104271628716,0.30137965233593095,0.03654088708031625,False,False,False
