utilization_pct,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
10,1.0,0.0,175102.51709943588,175121.71771929043,114563.22952381532,114009.43610255788,19.200619854556862,0.010964156875924606,-329.18263896822464,366.13695936708024,False
30,0.0,0.0,540905.7854631084,540905.7428066503,355577.37337206607,355577.3432696143,-0.042656458099372685,-7.88611669716002e-06,-0.04666438006388489,-0.03623168691701722,True
60,1.0,1.0,1157754.268450616,1158352.829197422,825814.0935270783,824632.8350191112,598.5607468059752,0.051673439363090684,-638.5064761744346,1786.2812385578059,False
80,1.0,1.0,1590381.648526951,1590979.3560889082,1178739.2544123568,1179659.7924009396,597.7075619571842,0.037568530331312654,97.79764913732069,1178.2338581224321,True
