alpha,utilization_pct,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
0.3,80,1.0,1.0,1594515.6308313627,1594727.2764406956,1179437.106362633,1178828.1647958972,211.64560933294706,0.01327158646244035,-452.3179669030302,710.1527566078992,False
0.5,80,1.0,1.0,1594835.8836835085,1594979.5185869785,1180378.402162465,1179296.2911286182,143.63490347005427,0.009005438740511417,-784.0532323761843,1077.8833499726722,False
0.75,80,1.0,1.0,1595608.447389551,1595429.8409868176,1183003.9025785162,1182111.7088980866,-178.6064027333632,-0.011194876649849434,-511.13346393168905,291.29981264732777,False
