regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R1_lean,0.3,1.0,0.1,1592350.7992734094,1593355.7593563478,1180525.1681096428,1178187.5587781765,1004.960082938429,0.06307192082102196,-472.89044150214175,3249.3314775110393,False
R1_lean,0.5,1.0,1.0,1594305.2546286439,1594327.1844253272,1180691.5357231337,1180365.404510637,21.929796683369204,0.0013754891027134913,-195.02866146044107,379.2931076697419,False
R1_lean,0.75,1.0,1.0,1597671.5004634708,1597673.302056875,1187884.5819992758,1187827.0866113955,1.801593404263258,0.00011276356699106459,-31.128370649344287,33.90692900458816,False
