regime,alpha,eps*_joint,eps*_shuf,joint_CVaR,shuf_CVaR,joint_mean,shuf_mean,gap_abs,gap_pct,gap_ci_lo,gap_ci_hi,detectable
R1_lean,0.3,1.0,0.0,1593471.9210091343,1593355.7398444281,1177222.5584687917,1178187.5336066964,-116.18116470612586,-0.007291602358520988,-1039.398182719713,464.93178953555156,False
R1_lean,0.5,0.0,0.0,1594623.6256369478,1594623.6214125187,1179121.418219178,1179121.414176082,-0.004224429139867425,-2.649170050626381e-07,-0.00535658787121065,-0.003053473535692319,True
R1_lean,0.75,0.0,0.0,1597820.8481801283,1597820.8479410585,1187135.3435027085,1187135.343258136,-0.00023906980641186237,-1.4962241024700995e-08,-0.0003246297943405807,-0.0001622599258553237,True
